sample_accession	submission_accession	sample_description	sampling_platform	study_accession	sampling_site	marine_region	sample_title	country	location_end	location	location_start	isolation_source	depth
SAMN37005611	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005613	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005617	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005618	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005619	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005624	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005627	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005630	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005631	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005634	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005637	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005644	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005645	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005646	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005647	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005648	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005650	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005653	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005659	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005660	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005662	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005663	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005668	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005670	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005671	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005683	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005684	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005685	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005686	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005687	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005688	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005690	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005692	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005696	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005698	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005704	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005706	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005711	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005712	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005714	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005716	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005720	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005722	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005724	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005725	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005728	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005731	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005734	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005737	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005739	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005740	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005745	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005747	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005749	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005750	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005751	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005752	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005753	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005756	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN37005761	SRA1693725	Individual tree from provenance trial. Isolate indicates the specific tree of each of 100 populations		PRJNA1005581			Plant sample from Fagus sylvatica	Germany: Schaedtbek					
SAMN42022469	SRA1928791	Plant sample from Fagus orientalis		PRJNA1127824			Plant sample from Fagus orientalis	Azerbaijan					
SAMN44353093	SRA1994002	Plant sample from Fagus grandifolia		PRJNA1143877			Plant sample from Fagus grandifolia	USA: Arnot Forest					
SAMN44353094	SRA1994002	Plant sample from Fagus grandifolia		PRJNA1143877			Plant sample from Fagus grandifolia	USA: Arnot Forest					
